time, x_ref, y_ref, heading_ref, v_ref, steering_ref
1.03, 4.4805, 5.09891, -0.193825, 5, -0.839588
1.04, 4.524, 5.08987, -0.215826, 5, -0.826276
1.05, 4.5675, 5.07984, -0.237231, 5, -0.812203
1.06, 4.611, 5.06884, -0.258026, 5, -0.797404
1.07, 4.6545, 5.05689, -0.2782, 5, -0.781915
1.08, 4.698, 5.044, -0.297746, 5, -0.765774
1.09, 4.7415, 5.0302, -0.316659, 5, -0.749021
1.1, 4.785, 5.0155, -0.334937, 5, -0.731697
1.11, 4.8285, 4.99993, -0.352579, 5, -0.713845
1.12, 4.872, 4.9835, -0.369587, 5, -0.695508
1.13, 4.9155, 4.96623, -0.385966, 5, -0.67673
1.14, 4.959, 4.94815, -0.40172, 5, -0.657556
1.15, 5.0025, 4.92928, -0.416856, 5, -0.63803
1.16, 5.046, 4.90963, -0.431382, 5, -0.618195
1.17, 5.0895, 4.88924, -0.445307, 5, -0.598094
1.18, 5.133, 4.86812, -0.458639, 5, -0.577771
1.19, 5.1765, 4.84629, -0.47139, 5, -0.557264
1.2, 5.22, 4.82378, -0.483568, 5, -0.536615
1.21, 5.2635, 4.80061, -0.495187, 5, -0.515859
1.22, 5.307, 4.7768, -0.506255, 5, -0.495032
1.23, 5.3505, 4.75238, -0.516785, 5, -0.474167
1.24, 5.394, 4.72737, -0.526788, 5, -0.453295
1.25, 5.4375, 4.70179, -0.536274, 5, -0.432443
1.26, 5.481, 4.67566, -0.545255, 5, -0.411637
1.27, 5.5245, 4.64902, -0.553741, 5, -0.390901
1.28, 5.568, 4.62188, -0.561742, 5, -0.370254
1.29, 5.6115, 4.59427, -0.56927, 5, -0.349714
1.3, 5.655, 4.56622, -0.576334, 5, -0.329297
1.31, 5.6985, 4.53774, -0.582943, 5, -0.309015
1.32, 5.742, 4.50886, -0.589106, 5, -0.28888
1.33, 5.7855, 4.47961, -0.594833, 5, -0.268899
1.34, 5.829, 4.45, -0.600132, 5, -0.249078
1.35, 5.8725, 4.42008, -0.60501, 5, -0.229423
1.36, 5.916, 4.38985, -0.609476, 5, -0.209936
1.37, 5.9595, 4.35935, -0.613536, 5, -0.190619
1.38, 6.003, 4.32859, -0.617196, 5, -0.17147
1.39, 6.0465, 4.29761, -0.620465, 5, -0.152488
1.4, 6.09, 4.26643, -0.623346, 5, -0.133671
1.41, 6.1335, 4.23507, -0.625845, 5, -0.115015
1.42, 6.177, 4.20356, -0.627968, 5, -0.0965151
1.43, 6.2205, 4.17192, -0.629719, 5, -0.0781665
1.44, 6.264, 4.14017, -0.631103, 5, -0.0599632
1.45, 6.3075, 4.10834, -0.632122, 5, -0.0418992
1.46, 6.351, 4.07646, -0.632781, 5, -0.023968
1.47, 6.3945, 4.04455, -0.633082, 5, -0.00616296
1.48, 6.438, 4.01263, -0.633028, 5, 0.0115226
1.49, 6.4815, 3.98072, -0.632621, 5, 0.0290953
1.5, 6.525, 3.94885, -0.631864, 5, 0.0465615
1.51, 6.5685, 3.91704, -0.630758, 5, 0.0639276
1.52, 6.612, 3.88532, -0.629304, 5, 0.0811994
1.53, 6.6555, 3.85371, -0.627503, 5, 0.0983823
1.54, 6.699, 3.82223, -0.625356, 5, 0.115481
1.55, 6.7425, 3.7909, -0.622863, 5, 0.132501
1.56, 6.786, 3.75975, -0.620025, 5, 0.149444
1.57, 6.8295, 3.7288, -0.616841, 5, 0.166315
1.58, 6.873, 3.69806, -0.61331, 5, 0.183114
1.59, 6.9165, 3.66757, -0.609433, 5, 0.199844
1.6, 6.96, 3.63734, -0.605208, 5, 0.216505
1.61, 7.0035, 3.60739, -0.600634, 5, 0.233096
1.62, 7.047, 3.57774, -0.595711, 5, 0.249616
1.63, 7.0905, 3.54842, -0.590437, 5, 0.266061
1.64, 7.134, 3.51944, -0.58481, 5, 0.282429
1.65, 7.1775, 3.49083, -0.578829, 5, 0.298714
1.66, 7.221, 3.4626, -0.572492, 5, 0.31491
1.67, 7.2645, 3.43476, -0.565798, 5, 0.331011
1.68, 7.308, 3.40735, -0.558745, 5, 0.347007
1.69, 7.3515, 3.38038, -0.551332, 5, 0.362889
1.7, 7.395, 3.35386, -0.543557, 5, 0.378647
1.71, 7.4385, 3.32781, -0.535418, 5, 0.394269
1.72, 7.482, 3.30225, -0.526914, 5, 0.409742
1.73, 7.5255, 3.2772, -0.518044, 5, 0.425052
1.74, 7.569, 3.25267, -0.508808, 5, 0.440185
1.75, 7.6125, 3.22868, -0.499204, 5, 0.455124
1.76, 7.656, 3.20524, -0.489232, 5, 0.469853
1.77, 7.6995, 3.18236, -0.478893, 5, 0.484354
1.78, 7.743, 3.16007, -0.468186, 5, 0.498609
1.79, 7.7865, 3.13837, -0.457113, 5, 0.5126
1.8, 7.83, 3.11728, -0.445676, 5, 0.526306
1.81, 7.8735, 3.09682, -0.433876, 5, 0.539708
1.82, 7.917, 3.07698, -0.421716, 5, 0.552786
1.83, 7.9605, 3.05779, -0.409199, 5, 0.565519
1.84, 8.004, 3.03925, -0.396331, 5, 0.577887
1.85, 8.0475, 3.02138, -0.383115, 5, 0.58987
1.86, 8.091, 3.00419, -0.369558, 5, 0.601447
1.87, 8.1345, 2.98769, -0.355667, 5, 0.612597
1.88, 8.178, 2.97188, -0.341449, 5, 0.623301
1.89, 8.2215, 2.95677, -0.326914, 5, 0.633539
1.9, 8.265, 2.94238, -0.312071, 5, 0.643293
1.91, 8.3085, 2.92871, -0.296931, 5, 0.652544
1.92, 8.352, 2.91576, -0.281506, 5, 0.661275
1.93, 8.3955, 2.90355, -0.265809, 5, 0.669467
1.94, 8.439, 2.89208, -0.249855, 5, 0.677106
1.95, 8.4825, 2.88135, -0.233659, 5, 0.684177
1.96, 8.526, 2.87137, -0.217237, 5, 0.690664
1.97, 8.5695, 2.86215, -0.200607, 5, 0.696555
1.98, 8.613, 2.85368, -0.183787, 5, 0.701837
1.99, 8.6565, 2.84598, -0.166796, 5, 0.7065
2, 8.7, 2.83904, -0.149655, 5, 0.710533
2.01, 8.7435, 2.83286, -0.132385, 5, 0.713927
2.02, 8.787, 2.82745, -0.115007, 5, 0.716676
2.03, 8.8305, 2.82281, -0.0975444, 5, 0.718771
2.04, 8.874, 2.81894, -0.0800192, 5, 0.720209
2.05, 8.9175, 2.81584, -0.0624547, 5, 0.720985
2.06, 8.961, 2.8135, -0.0448745, 5, 0.721096
2.07, 9.0045, 2.81193, -0.0273022, 5, 0.720541
2.08, 9.048, 2.81112, -0.00976133, 5, 0.719319
2.09, 9.0915, 2.81108, 0.00772458, 5, 0.717431
2.1, 9.135, 2.81179, 0.0251323, 5, 0.714879
2.11, 9.1785, 2.81326, 0.042439, 5, 0.711667
2.12, 9.222, 2.81549, 0.0596222, 5, 0.707799
2.13, 9.2655, 2.81846, 0.0766601, 5, 0.70328
2.14, 9.309, 2.82217, 0.0935317, 5, 0.698118
2.15, 9.3525, 2.82661, 0.110217, 5, 0.692321
2.16, 9.396, 2.83179, 0.126695, 5, 0.685898
2.17, 9.4395, 2.83769, 0.142949, 5, 0.678859
2.18, 9.483, 2.84431, 0.158961, 5, 0.671216
2.19, 9.5265, 2.85164, 0.174713, 5, 0.662982
2.2, 9.57, 2.85967, 0.190191, 5, 0.65417
2.21, 9.6135, 2.86838, 0.205381, 5, 0.644795
2.22, 9.657, 2.87779, 0.220268, 5, 0.634871
2.23, 9.7005, 2.88786, 0.234841, 5, 0.624417
2.24, 9.744, 2.8986, 0.249088, 5, 0.613447
2.25, 9.7875, 2.90999, 0.263, 5, 0.601982
2.26, 9.831, 2.92202, 0.276568, 5, 0.590038
2.27, 9.8745, 2.93468, 0.289782, 5, 0.577635
2.28, 9.918, 2.94796, 0.302637, 5, 0.564792
2.29, 9.9615, 2.96184, 0.315126, 5, 0.55153
2.3, 10.005, 2.97631, 0.327244, 5, 0.537868
2.31, 10.0485, 2.99137, 0.338986, 5, 0.523826
2.32, 10.092, 3.00698, 0.350349, 5, 0.509424
2.33, 10.1355, 3.02315, 0.361329, 5, 0.494684
2.34, 10.179, 3.03986, 0.371925, 5, 0.479624
2.35, 10.2225, 3.05708, 0.382134, 5, 0.464265
2.36, 10.266, 3.07482, 0.391956, 5, 0.448626
2.37, 10.3095, 3.09304, 0.401388, 5, 0.432726
2.38, 10.353, 3.11174, 0.410433, 5, 0.416583
2.39, 10.3965, 3.13089, 0.419088, 5, 0.400215
2.4, 10.44, 3.15049, 0.427355, 5, 0.383639
2.41, 10.4835, 3.17051, 0.435234, 5, 0.366871
2.42, 10.527, 3.19093, 0.442726, 5, 0.349926
2.43, 10.5705, 3.21175, 0.449832, 5, 0.332819
2.44, 10.614, 3.23294, 0.456553, 5, 0.315565
2.45, 10.6575, 3.25447, 0.462891, 5, 0.298174
2.46, 10.701, 3.27635, 0.468847, 5, 0.280659
2.47, 10.7445, 3.29854, 0.474422, 5, 0.263031
2.48, 10.788, 3.32102, 0.479618, 5, 0.245299
2.49, 10.8315, 3.34378, 0.484436, 5, 0.227472
2.5, 10.875, 3.3668, 0.488878, 5, 0.209558
2.51, 10.9185, 3.39005, 0.492944, 5, 0.191563
2.52, 10.962, 3.41353, 0.496636, 5, 0.173495
2.53, 11.0055, 3.43719, 0.499954, 5, 0.155357
2.54, 11.049, 3.46104, 0.502901, 5, 0.137155
2.55, 11.0925, 3.48504, 0.505476, 5, 0.118893
2.56, 11.136, 3.50918, 0.507679, 5, 0.100573
2.57, 11.1795, 3.53344, 0.509512, 5, 0.0821979
2.58, 11.223, 3.55778, 0.510975, 5, 0.0637701
2.59, 11.2665, 3.58221, 0.512066, 5, 0.0452914
2.6, 11.31, 3.60668, 0.512787, 5, 0.0267631
2.61, 11.3535, 3.63118, 0.513137, 5, 0.00818635
2.62, 11.397, 3.65569, 0.513115, 5, -0.0104376
2.63, 11.4405, 3.6802, 0.512719, 5, -0.0291078
2.64, 11.484, 3.70466, 0.511949, 5, -0.047823
2.65, 11.5275, 3.72908, 0.510804, 5, -0.0665819
2.66, 11.571, 3.75341, 0.509282, 5, -0.0853827
2.67, 11.6145, 3.77765, 0.50738, 5, -0.104224
2.68, 11.658, 3.80177, 0.505097, 5, -0.123102
2.69, 11.7015, 3.82575, 0.50243, 5, -0.142015
2.7, 11.745, 3.84957, 0.499377, 5, -0.160958
2.71, 11.7885, 3.8732, 0.495934, 5, -0.179928
2.72, 11.832, 3.89663, 0.4921, 5, -0.198918
2.73, 11.8755, 3.91983, 0.48787, 5, -0.217923
2.74, 11.919, 3.94279, 0.483241, 5, -0.236935
2.75, 11.9625, 3.96548, 0.47821, 5, -0.255945
2.76, 12.006, 3.98788, 0.472773, 5, -0.274944
2.77, 12.0495, 4.00997, 0.466925, 5, -0.293921
2.78, 12.093, 4.03173, 0.460664, 5, -0.312864
2.79, 12.1365, 4.05314, 0.453984, 5, -0.331759
2.8, 12.18, 4.07417, 0.446883, 5, -0.350592
2.81, 12.2235, 4.09482, 0.439355, 5, -0.369346
2.82, 12.267, 4.11506, 0.431397, 5, -0.388005
2.83, 12.3105, 4.13486, 0.423005, 5, -0.406549
2.84, 12.354, 4.15422, 0.414174, 5, -0.424959
2.85, 12.3975, 4.1731, 0.404902, 5, -0.443213
2.86, 12.441, 4.1915, 0.395185, 5, -0.46129
2.87, 12.4845, 4.20939, 0.385019, 5, -0.479167
2.88, 12.528, 4.22675, 0.374402, 5, -0.496818
2.89, 12.5715, 4.24356, 0.363331, 5, -0.51422
2.9, 12.615, 4.25982, 0.351805, 5, -0.531346
2.91, 12.6585, 4.27549, 0.339822, 5, -0.548171
2.92, 12.702, 4.29057, 0.327381, 5, -0.564667
2.93, 12.7455, 4.30503, 0.314483, 5, -0.580809
2.94, 12.789, 4.31887, 0.301128, 5, -0.596569
2.95, 12.8325, 4.33205, 0.287319, 5, -0.611921
2.96, 12.876, 4.34457, 0.273058, 5, -0.626837
2.97, 12.9195, 4.35641, 0.258349, 5, -0.641292
2.98, 12.963, 4.36755, 0.243198, 5, -0.65526
2.99, 13.0065, 4.37799, 0.22761, 5, -0.668715
3, 13.05, 4.3877, 0.211594, 5, -0.681635
3.01, 13.0935, 4.39667, 0.195159, 5, -0.693994
3.02, 13.137, 4.40489, 0.178315, 5, -0.705771
3.03, 13.1805, 4.41235, 0.161075, 5, -0.716945
3.04, 13.224, 4.41902, 0.143453, 5, -0.727496
3.05, 13.2675, 4.42491, 0.125464, 5, -0.737405
3.06, 13.311, 4.42999, 0.107125, 5, -0.746654
3.07, 13.3545, 4.43426, 0.0884558, 5, -0.755229
3.08, 13.398, 4.43771, 0.0694759, 5, -0.763114
3.09, 13.4415, 4.44031, 0.0502075, 5, -0.770296
3.1, 13.485, 4.44207, 0.0306742, 5, -0.776766
3.11, 13.5285, 4.44298, 0.0109007, 5, -0.782512
3.12, 13.572, 4.44302, -0.00908666, 5, -0.787527
3.13, 13.6155, 4.44219, -0.0292607, 5, -0.791805
3.14, 13.659, 4.44047, -0.0495929, 5, -0.79534
3.15, 13.7025, 4.43787, -0.0700541, 5, -0.798129
3.16, 13.746, 4.43436, -0.0906145, 5, -0.800172
3.17, 13.7895, 4.42996, -0.111244, 5, -0.801468
3.18, 13.833, 4.42464, -0.131911, 5, -0.802019
3.19, 13.8765, 4.41841, -0.152586, 5, -0.801828
3.2, 13.92, 4.41126, -0.173237, 5, -0.800901
3.21, 13.9635, 4.40319, -0.193836, 5, -0.799245
3.22, 14.007, 4.39418, -0.214351, 5, -0.796867
3.23, 14.0505, 4.38425, -0.234754, 5, -0.793779
3.24, 14.094, 4.37338, -0.255018, 5, -0.78999
3.25, 14.1375, 4.36157, -0.275115, 5, -0.785516
3.26, 14.181, 4.34882, -0.295019, 5, -0.78037
3.27, 14.2245, 4.33513, -0.314707, 5, -0.77457
3.28, 14.268, 4.3205, -0.334155, 5, -0.768132
3.29, 14.3115, 4.30492, -0.353342, 5, -0.761076
3.3, 14.355, 4.28841, -0.372248, 5, -0.753423
3.31, 14.3985, 4.27095, -0.390856, 5, -0.745195
3.32, 14.442, 4.25256, -0.40915, 5, -0.736415
3.33, 14.4855, 4.23323, -0.427113, 5, -0.727107
3.34, 14.529, 4.21297, -0.444734, 5, -0.717297
3.35, 14.5725, 4.19177, -0.462002, 5, -0.707011
3.36, 14.616, 4.16965, -0.478905, 5, -0.696277
3.37, 14.6595, 4.1466, -0.495437, 5, -0.685122
3.38, 14.703, 4.12263, -0.51159, 5, -0.673574
3.39, 14.7465, 4.09775, -0.527359, 5, -0.661663
3.4, 14.79, 4.07197, -0.54274, 5, -0.649417
3.41, 14.8335, 4.04528, -0.55773, 5, -0.636866
3.42, 14.877, 4.0177, -0.572327, 5, -0.624038
3.43, 14.9205, 3.98923, -0.58653, 5, -0.610962
3.44, 14.964, 3.95989, -0.600341, 5, -0.597667
3.45, 15.0075, 3.92967, -0.61376, 5, -0.58418
3.46, 15.051, 3.8986, -0.626788, 5, -0.570529
3.47, 15.0945, 3.86667, -0.639429, 5, -0.55674
3.48, 15.138, 3.8339, -0.651686, 5, -0.542839
3.49, 15.1815, 3.8003, -0.663562, 5, -0.528849
3.5, 15.225, 3.76589, -0.675062, 5, -0.514795
3.51, 15.2685, 3.73066, -0.686191, 5, -0.500698
3.52, 15.312, 3.69464, -0.696952, 5, -0.486578
3.53, 15.3555, 3.65784, -0.707353, 5, -0.472457
3.54, 15.399, 3.62027, -0.717397, 5, -0.45835
3.55, 15.4425, 3.58194, -0.72709, 5, -0.444276
3.56, 15.486, 3.54287, -0.736439, 5, -0.430248
